Unnamed: 0,Country Name,Year,Renewables Value,Renewables Share,Non-Renewables Value,Non-Renewables Share,CO2 Emissions,Particulate Matter,Respiratory Death Rate
5,Australia,2010,24610.86,0.131765501426473,212014.138,0.868234498573527,405103330.0,8.925999999999998,24.23
6,Australia,2011,25078.374,0.1037019106764588,213905.512,0.8962980367706366,403828770.0,7.992,24.37
7,Australia,2012,29876.966,0.1296260910494636,206632.233,0.8703738591633219,406150900.0,7.242,24.19
9,Australia,2014,32869.815,0.1259242415280549,205342.418,0.8740758066383741,393952900.0,6.837999999999999,24.48
10,Australia,2015,35033.856311,0.1431706182279981,206028.673386,0.8568293817720019,401793060.0,6.531999999999999,24.72
8,Australia,2013,35667.676,0.1676779907166397,195695.324,0.8323220615274693,397887460.0,7.168000000000001,24.14
12,Australia,2017,39298.654663,0.1585246074616004,205983.082267,0.8414753925860702,414358300.0,6.828,24.06
11,Australia,2016,43979.519863,0.1856202631776513,201931.847182,0.8143797368223488,411264300.0,6.609999999999999,24.32
13,Australia,2018,50132.733078,0.2237377154562991,197637.065256,0.7762622844963423,416283800.0,7.054,24.27
14,Australia,2019,55675.459561,0.2487035720069428,196097.987605,0.7512964279474694,416356600.0,8.852,24.18
